                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     49,                0.67137,                0.48457,                 1.0256,                 0.9652,                0.94186,                0.98358,                0.79207,                0.75703,                0.48252,                0.99012,              0.0010496,              0.0010496,              0.0010496
                     50,                0.65538,                0.49802,                  1.044,                0.97435,                0.95349,                0.98647,                0.78398,                 0.7876,                0.47416,                 1.0096,              0.0010298,              0.0010298,              0.0010298
                     51,                0.68547,                0.47229,                 1.0328,                0.94738,                0.87209,                0.95143,                  0.699,                0.99275,                0.70062,                 1.1636,                0.00101,                0.00101,                0.00101
                     52,                0.66366,                0.48329,                 1.0293,                 0.9882,                0.97374,                0.99049,                0.80011,                0.77662,                0.44016,                 1.0029,              0.0009902,              0.0009902,              0.0009902
                     53,                0.63645,                0.45791,                 1.0063,                0.98229,                 0.9675,                0.99074,                0.80971,                0.75996,                0.43176,                0.97604,              0.0009704,              0.0009704,              0.0009704
                     54,                0.73951,                0.58913,                 1.0925,                0.96723,                0.97093,                0.99053,                0.80709,                0.76287,                0.43791,                0.98221,              0.0009506,              0.0009506,              0.0009506
                     55,                0.64193,                0.44341,                 1.0091,                0.99965,                0.96512,                0.99327,                0.79497,                 0.7966,                 0.4557,                      1,              0.0009308,              0.0009308,              0.0009308
                     56,                0.62018,                0.44061,                 1.0039,                0.95497,                0.98633,                 0.9922,                0.80794,                0.77568,                0.42658,                 0.9778,               0.000911,               0.000911,               0.000911
                     57,                0.64611,                0.49755,                 1.0102,                0.97381,                0.98256,                0.99383,                0.81443,                0.75024,                0.40946,                0.96385,              0.0008912,              0.0008912,              0.0008912
                     58,                0.64151,                0.52067,                 1.0175,                0.99401,                  0.965,                0.99358,                0.80747,                0.76862,                0.42633,                0.97618,              0.0008714,              0.0008714,              0.0008714
                     59,                0.60539,                0.43357,                0.98944,                0.95907,                0.99419,                0.99181,                 0.8086,                0.76655,                0.41969,                0.96515,              0.0008516,              0.0008516,              0.0008516
                     60,                0.60629,                0.41692,                 1.0099,                0.97519,                0.97674,                0.99302,                0.79913,                0.77335,                 0.4206,                0.96549,              0.0008318,              0.0008318,              0.0008318
                     61,                0.58752,                0.42204,                0.99777,                0.97942,                0.98837,                0.99401,                0.81723,                0.73064,                0.40495,                0.95563,               0.000812,               0.000812,               0.000812
                     62,                  0.592,                0.41121,                0.99785,                0.97064,                0.96109,                0.99255,                0.81438,                0.78092,                0.43467,                0.98796,              0.0007922,              0.0007922,              0.0007922
                     63,                0.63722,                0.44459,                0.99546,                0.98266,                0.98825,                0.99406,                0.81654,                0.73213,                0.39858,                0.95716,              0.0007724,              0.0007724,              0.0007724
                     64,                0.60822,                0.42993,                  1.029,                0.98441,                0.98837,                0.99465,                0.81369,                0.75347,                0.40869,                0.97169,              0.0007526,              0.0007526,              0.0007526
                     65,                0.60383,                0.40819,                0.99186,                 0.9852,                0.98256,                0.99277,                0.82701,                0.70645,                0.39115,                0.95586,              0.0007328,              0.0007328,              0.0007328
